,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,user
0,0.816,0.255,6,-10.016,0,0.0416,0.774,0.00684,0.114,0.323,89.922,audio_features,7yZTPEXSUqWw7sEYKKDv2N,spotify:track:7yZTPEXSUqWw7sEYKKDv2N,https://api.spotify.com/v1/tracks/7yZTPEXSUqWw7sEYKKDv2N,https://api.spotify.com/v1/audio-analysis/7yZTPEXSUqWw7sEYKKDv2N,155528,4,jojogrin
1,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,audio_features,1JbR9RDP3ogVNEWFgNXAjh,spotify:track:1JbR9RDP3ogVNEWFgNXAjh,https://api.spotify.com/v1/tracks/1JbR9RDP3ogVNEWFgNXAjh,https://api.spotify.com/v1/audio-analysis/1JbR9RDP3ogVNEWFgNXAjh,211853,4,jojogrin
2,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,audio_features,3e9HZxeyfWwjeyPAMmWSSQ,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,https://api.spotify.com/v1/tracks/3e9HZxeyfWwjeyPAMmWSSQ,https://api.spotify.com/v1/audio-analysis/3e9HZxeyfWwjeyPAMmWSSQ,207320,4,jojogrin
3,0.845,0.561,1,-5.253,0,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,audio_features,6wmAHw1szh5RCKSRjiXhPe,spotify:track:6wmAHw1szh5RCKSRjiXhPe,https://api.spotify.com/v1/tracks/6wmAHw1szh5RCKSRjiXhPe,https://api.spotify.com/v1/audio-analysis/6wmAHw1szh5RCKSRjiXhPe,200853,4,jojogrin
4,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,audio_features,5OCJzvD7sykQEKHH7qAC3C,spotify:track:5OCJzvD7sykQEKHH7qAC3C,https://api.spotify.com/v1/tracks/5OCJzvD7sykQEKHH7qAC3C,https://api.spotify.com/v1/audio-analysis/5OCJzvD7sykQEKHH7qAC3C,197547,4,jojogrin
5,0.594,0.749,3,-6.251,1,0.0677,0.00188,0.000139,0.0869,0.344,130.064,audio_features,0Mn3amMRMoabaoTf1Publ4,spotify:track:0Mn3amMRMoabaoTf1Publ4,https://api.spotify.com/v1/tracks/0Mn3amMRMoabaoTf1Publ4,https://api.spotify.com/v1/audio-analysis/0Mn3amMRMoabaoTf1Publ4,205746,4,jojogrin
6,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,5qmq61DAAOUaW8AUo8xKhh,spotify:track:5qmq61DAAOUaW8AUo8xKhh,https://api.spotify.com/v1/tracks/5qmq61DAAOUaW8AUo8xKhh,https://api.spotify.com/v1/audio-analysis/5qmq61DAAOUaW8AUo8xKhh,173325,4,jojogrin
7,0.624,0.977,11,-3.34,0,0.22,0.00615,0.0,0.253,0.74,126.127,audio_features,6ddQ5KCkvCggk3j6KdA0zL,spotify:track:6ddQ5KCkvCggk3j6KdA0zL,https://api.spotify.com/v1/tracks/6ddQ5KCkvCggk3j6KdA0zL,https://api.spotify.com/v1/audio-analysis/6ddQ5KCkvCggk3j6KdA0zL,177573,4,jojogrin
8,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,audio_features,6ocbgoVGwYJhOv1GgI9NsF,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,178627,4,jojogrin
9,0.628,0.834,6,-6.341,0,0.0497,0.403,0.0,0.051,0.626,97.865,audio_features,10FP9hm2aFfAIKEopqaG9D,spotify:track:10FP9hm2aFfAIKEopqaG9D,https://api.spotify.com/v1/tracks/10FP9hm2aFfAIKEopqaG9D,https://api.spotify.com/v1/audio-analysis/10FP9hm2aFfAIKEopqaG9D,215507,4,jojogrin
10,0.625,0.709,1,-5.486,0,0.0661,0.0955,4.64e-06,0.121,0.579,151.958,audio_features,7pN0F1KIniF4O1ts8WfSBG,spotify:track:7pN0F1KIniF4O1ts8WfSBG,https://api.spotify.com/v1/tracks/7pN0F1KIniF4O1ts8WfSBG,https://api.spotify.com/v1/audio-analysis/7pN0F1KIniF4O1ts8WfSBG,209967,4,jojogrin
11,0.879,0.732,11,-5.016,0,0.061,0.027,0.0,0.0656,0.355,120.052,audio_features,0FhBANnxcQBgD3tQ75WFAn,spotify:track:0FhBANnxcQBgD3tQ75WFAn,https://api.spotify.com/v1/tracks/0FhBANnxcQBgD3tQ75WFAn,https://api.spotify.com/v1/audio-analysis/0FhBANnxcQBgD3tQ75WFAn,156284,4,jojogrin
